case,mode,strict_content_score,cost_usd,prompt_time_s,setup_time_s_reported_separately,dominated_prompt_time_basis,dominated_by
admin-permissions,base,78,0.940181,159.265,0.0,False,
admin-permissions,graphify,84,1.24642,128.894,91.811,False,
admin-permissions,crg,79,1.080953,150.858,24.238,False,
admin-permissions,graphify+crg,68,1.144228,146.597,106.74,False,
admin-product-edit-field,base,80,0.841569,111.275,0.0,False,
admin-product-edit-field,graphify,83,0.932347,136.177,82.869,False,
admin-product-edit-field,crg,70,0.734962,109.359,25.551,False,
admin-product-edit-field,graphify+crg,76,0.793791,123.214,109.587,False,
auth-discovery,base,77,0.7986369999999999,136.134,0.0,False,
auth-discovery,graphify,80,0.963774,138.893,86.987,False,
auth-discovery,crg,72,0.798755,114.674,25.271,False,
auth-discovery,graphify+crg,84,1.135533,197.818,108.548,False,
cart-to-order-flow,base,82,0.8587800000000001,135.827,0.0,False,
cart-to-order-flow,graphify,87,0.983283,125.746,85.491,False,
cart-to-order-flow,crg,66,0.954484,133.322,23.716,False,
cart-to-order-flow,graphify+crg,74,0.949936,160.716,109.223,True,base
inactive-customers-csv,base,79,0.940622,155.79,0.0,True,graphify
inactive-customers-csv,graphify,83,0.8213029999999999,101.872,88.384,False,
inactive-customers-csv,crg,75,0.6220870000000001,134.635,24.666,False,
inactive-customers-csv,graphify+crg,72,1.182751,159.914,109.85,True,base;graphify;crg
order-total-impact,base,84,1.089568,188.618,0.0,False,
order-total-impact,graphify,78,0.865058,170.024,83.484,False,
order-total-impact,crg,70,1.252809,182.365,25.039,True,graphify;graphify+crg
order-total-impact,graphify+crg,79,1.070601,157.262,108.48,False,
