mode,mode_short,case,case_class,prompt_style,run_dir,worktree,run_status,agent_ok,agent_exit_code,agent_timed_out,agent_elapsed_ms,agent_elapsed_s,setup_elapsed_ms,setup_elapsed_s,worktree_elapsed_ms,materialize_count,setup_command_count,setup_failed_commands,total_elapsed_s_incl_setup,validation_ok,hard_passed,hard_total,hard_pass_rate,soft_passed,soft_total,soft_pass_rate,answer_chars,answer_words,answer_lines,file_reference_count,unique_file_reference_count,existing_file_reference_count,missing_file_reference_count,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,cache_hit_rate,input_cost,cached_input_cost,output_cost,estimated_cost_usd,json_events,tool_events_agent_summary,command_events_agent_summary,event_count,assistant_message_count,tool_call_count_normalized,adjacent_collapsed_tool_calls,unique_tool_signatures,crg_tool_call_count,graphify_shell_call_count,code_review_graph_shell_call_count,uvx_crg_shell_call_count,rough_search_shell_count,rough_read_shell_count,behavior_source_read_count,behavior_search_count,behavior_graphify_command_count,behavior_graphify_query_count,active_skills_count,active_skills
base-only,base,admin-product-edit-field,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-only/neutral/admin-product-edit-field/r1,/home/simon/repos/lorq-worktrees/base-only__neutral__admin-product-edit-field__r1,validation_failed,True,0,False,111275,111.275,0,0.0,380,1,0,,111.275,False,12,15,0.8,1,8,0.125,5562,731,34,13,13,0,13,482667,379648,103019,4555,758,487222,0.7865629927051155,0.515095,0.189824,0.13665,0.841569,34,0,28,32,3,28,14,14,0,0,0,0,20,16,6,20,0,0,13,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify,graphify,admin-product-edit-field,everyday,neutral,/mnt/data/default_graphify_extracted/default-graphify/runs/base-default-graphify/neutral/admin-product-edit-field/r1,/home/simon/repos/lorq-worktrees/base-default-graphify__neutral__admin-product-edit-field__r1,validation_failed,True,0,False,136177,136.177,82869,82.869,381,3,2,,219.046,False,13,15,0.8666666666666667,0,7,0.0,6668,813,58,0,0,0,0,424643,296704,127939,4810,639,429453,0.6987139785655244,0.639695,0.148352,0.1443,0.932347,70,0,58,68,9,58,33,29,0,8,0,0,24,32,0,26,4,2,14,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,graphify,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-code-review-graph,crg,admin-product-edit-field,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-code-review-graph/neutral/admin-product-edit-field/r1,/home/simon/repos/lorq-worktrees/base-default-code-review-graph__neutral__admin-product-edit-field__r1,validation_failed,True,0,False,109359,109.359,25551,25.551,365,9,5,,134.91,False,12,15,0.8,1,8,0.125,4488,577,27,1,1,0,1,412994,324864,88130,4396,981,417390,0.7866070693520971,0.44065,0.162432,0.13188,0.734962,47,8,32,43,4,38,19,19,6,0,2,0,16,28,10,16,0,0,18,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify-code-review-graph,graphify+crg,admin-product-edit-field,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-graphify-code-review-graph/neutral/admin-product-edit-field/r1,/home/simon/repos/lorq-worktrees/base-default-graphify-code-review-graph__neutral__admin-product-edit-field__r1,validation_failed,True,0,False,123214,123.214,109587,109.587,371,12,7,,232.801,False,13,16,0.8125,2,9,0.2222222222222222,4985,635,35,1,1,0,1,693129,630272,62857,5479,1379,698608,0.9093141392150668,0.314285,0.315136,0.16437,0.793791,34,2,26,30,3,26,13,13,0,6,2,0,18,24,24,18,6,2,20,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,graphify,graphify-query-planner,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-only,base,admin-permissions,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-only/neutral/admin-permissions/r1,/home/simon/repos/lorq-worktrees/base-only__neutral__admin-permissions__r1,completed,True,0,False,159265,159.265,0,0.0,367,1,0,,159.265,True,7,7,1.0,1,5,0.2,7879,900,50,0,0,0,0,581167,474112,107055,5595,1270,586762,0.815793050878663,0.535275,0.237056,0.16785,0.9401809999999999,32,0,26,30,3,26,13,13,0,0,0,0,18,20,10,18,0,0,13,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify,graphify,admin-permissions,everyday,neutral,/mnt/data/default_graphify_admin_permissions_extracted/default-graphify-admin-permissions/runs/base-default-graphify/neutral/admin-permissions/r1,/home/simon/repos/lorq-worktrees/base-default-graphify__neutral__admin-permissions__r1,completed,True,0,False,128894,128.894,91811,91.811,372,3,2,,220.705,True,7,7,1.0,2,5,0.4,8794,999,23,0,0,0,0,754208,598400,155808,5606,300,759814,0.7934150791293648,0.77904,0.2992,0.16818,1.24642,85,0,70,83,12,70,38,35,0,8,0,0,14,50,24,14,8,2,14,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,graphify,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-code-review-graph,crg,admin-permissions,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-code-review-graph/neutral/admin-permissions/r1,/home/simon/repos/lorq-worktrees/base-default-code-review-graph__neutral__admin-permissions__r1,completed,True,0,False,150858,150.858,24238,24.238,367,9,5,,175.096,True,7,7,1.0,1,5,0.2,8650,1005,86,0,0,0,0,800173,691456,108717,6388,1291,806561,0.8641331312103757,0.543585,0.345728,0.19164,1.080953,44,6,32,38,3,34,17,17,2,0,2,0,22,24,10,22,0,0,18,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify-code-review-graph,graphify+crg,admin-permissions,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-default-graphify-code-review-graph/neutral/admin-permissions/r1,/home/simon/repos/lorq-worktrees/base-default-graphify-code-review-graph__neutral__admin-permissions__r1,completed,True,0,False,146597,146.597,106740,106.74,365,12,7,,253.337,True,8,8,1.0,2,6,0.3333333333333333,7058,807,61,0,0,0,0,750410,621056,129354,6231,1647,756641,0.8276222331791954,0.64677,0.310528,0.18693,1.144228,39,6,26,33,4,28,14,14,2,8,2,0,16,20,14,16,8,4,20,"analyzing-code,analyzing-code-structure,choosing-cli-tools,code-review-graph,composing-cli-workflows,debug-issue,explore-codebase,extracting-code-structure,finding-files,fuzzy-selecting,graphify,graphify-query-planner,querying-json,querying-yaml,refactor-safely,replacing-text,review-changes,searching-text,viewing-files,working-with-dotnet-backends"
base-only,base,inactive-customers-csv,everyday,neutral,/mnt/data/agg_extracted/aggregated_run_01/base-only/neutral/inactive-customers-csv/r1,/home/simon/repos/lorq-worktrees/base-only__neutral__inactive-customers-csv__r1,completed,True,0,False,155790,155.79,0,0.0,362,1,0,,155.79,True,4,4,1.0,2,5,0.4,6234,754,54,2,2,0,2,605818,501504,104314,5610,1299,611428,0.8278129735333054,0.52157,0.250752,0.1683,0.940622,40,0,32,38,5,32,16,16,0,0,0,0,22,30,20,22,0,0,13,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
base-default-graphify,graphify,inactive-customers-csv,everyday,neutral,/mnt/data/default_graphify_extracted/default-graphify/runs/base-default-graphify/neutral/inactive-customers-csv/r1,/home/simon/repos/lorq-worktrees/base-default-graphify__neutral__inactive-customers-csv__r1,completed,True,0,False,101872,101.872,88384,88.384,376,3,2,,190.256,True,4,4,1.0,1,4,0.25,4336,494,26,0,0,0,0,488101,385536,102565,3857,413,491958,0.7898693098354643,0.512825,0.192768,0.11571,0.8213029999999999,76,0,64,74,9,64,37,32,0,6,0,0,12,50,4,12,6,2,14,"analyzing-code,analyzing-code-structure,choosing-cli-tools,composing-cli-workflows,extracting-code-structure,finding-files,fuzzy-selecting,graphify,querying-json,querying-yaml,replacing-text,searching-text,viewing-files,working-with-dotnet-backends"
